sneg_g,epiweek,phec_name,ct_mean,ssd,count,se,gene,Date
S+,5,East Midlands,20.960353123030885,5.111709755451672,174,0.38751771649511074,ORF1ab  (Ct<=30),2021-02-06
S-,5,East Midlands,19.757371919780734,4.520531752623727,3135,0.0807366548766003,ORF1ab  (Ct<=30),2021-02-06
S+,5,East Midlands,21.94585095843677,4.703803768245444,164,0.36730536483634596, N  (Ct<=30),2021-02-06
S-,5,East Midlands,19.587218143157944,4.702268579447556,3142,0.08388886929286149, N  (Ct<=30),2021-02-06
S+,5,East Midlands,23.731657298982466,1.7741314704397284,195,0.127048193448334,MS2 control,2021-02-06
S-,5,East Midlands,24.034300781178853,1.762883393610197,3488,0.02984938231935591,MS2 control,2021-02-06
S+,5,East of England,22.507352300564072,4.672739359795253,97,0.4744447989637033,ORF1ab  (Ct<=30),2021-02-06
S-,5,East of England,19.98368901874898,4.387514640892064,3100,0.0788020892224316,ORF1ab  (Ct<=30),2021-02-06
S+,5,East of England,23.0930516026355,4.289549066674678,92,0.4472164051033713, N  (Ct<=30),2021-02-06
S-,5,East of England,19.80229535774767,4.559002662382953,3111,0.08173721578784801, N  (Ct<=30),2021-02-06
S+,5,East of England,23.98622408880799,1.3239016187412087,108,0.12739249266013636,MS2 control,2021-02-06
S-,5,East of England,24.294677209546684,1.7024911897081136,3526,0.028671057991879603,MS2 control,2021-02-06
S+,5,London,22.25730162751022,4.6344567882808265,137,0.3959483646425149,ORF1ab  (Ct<=30),2021-02-06
S-,5,London,20.214334785699144,4.446204042045741,4802,0.06416206180958328,ORF1ab  (Ct<=30),2021-02-06
S+,5,London,22.822331482102197,4.443306850244467,133,0.3852835667501793, N  (Ct<=30),2021-02-06
S-,5,London,20.048596635536686,4.6406999736832475,4823,0.06682282943765745, N  (Ct<=30),2021-02-06
S+,5,London,24.056517458653612,1.5523892167565898,158,0.12350145492665612,MS2 control,2021-02-06
S-,5,London,24.198263735748455,1.657620593244687,5575,0.02220049702974035,MS2 control,2021-02-06
S+,5,North East,20.3211766554198,5.044454282689001,205,0.3523199696654594,ORF1ab  (Ct<=30),2021-02-06
S-,5,North East,18.729016742926103,4.544944139710064,3986,0.07198796596392967,ORF1ab  (Ct<=30),2021-02-06
S+,5,North East,21.579994714728887,4.8105308946305465,196,0.3436093496164676, N  (Ct<=30),2021-02-06
S-,5,North East,18.776360973894487,4.674453819402432,3995,0.073955841287265, N  (Ct<=30),2021-02-06
S+,5,North East,21.73560309569729,1.0781349073807744,231,0.07093606897064741,MS2 control,2021-02-06
S-,5,North East,22.049731235727453,1.3850770607203868,4472,0.020712047776761437,MS2 control,2021-02-06
S+,5,North West,20.869486344296853,4.671718751900917,763,0.16912757442538062,ORF1ab  (Ct<=30),2021-02-06
S-,5,North West,19.733291463641216,4.44477537486299,11688,0.04111305190208242,ORF1ab  (Ct<=30),2021-02-06
S+,5,North West,22.16943593764671,4.331025155998947,731,0.1601887519593785, N  (Ct<=30),2021-02-06
S-,5,North West,19.730253117843425,4.5272279964196045,11683,0.04188467773353849, N  (Ct<=30),2021-02-06
S+,5,North West,23.66224163785139,1.4838469942624448,887,0.04982270598830816,MS2 control,2021-02-06
S-,5,North West,23.935044567305805,1.6531970757275338,12967,0.014517935847177078,MS2 control,2021-02-06
S+,5,South East,21.822427456477296,4.4110347999416915,200,0.3119072619088616,ORF1ab  (Ct<=30),2021-02-06
S-,5,South East,19.875020069065727,4.488929407280771,5153,0.06253349534981752,ORF1ab  (Ct<=30),2021-02-06
S+,5,South East,22.817237882712178,4.111217180282502,198,0.2921714826432407, N  (Ct<=30),2021-02-06
S-,5,South East,19.713558692745853,4.593511765344682,5131,0.06412742859114148, N  (Ct<=30),2021-02-06
S+,5,South East,23.874183278694648,1.5979597706992157,239,0.10336342491388938,MS2 control,2021-02-06
S-,5,South East,24.295497210715375,1.6487472138982973,5954,0.021367300585692802,MS2 control,2021-02-06
S+,5,South West,21.325578157088955,4.599519396301803,90,0.4848319144812114,ORF1ab  (Ct<=30),2021-02-06
S-,5,South West,19.94457720480497,4.521108595181717,1434,0.11939066276408829,ORF1ab  (Ct<=30),2021-02-06
