"Region_name","epiweek","pos","neg","pillar2","frac","spos","sneg","lower_ci","upper_ci","spos_ui","spos_li","date"
"North West",19,764,386,1392,0.664347826086957,924.772173913044,467.227826086956,0.636226818564665,0.691625302276871,962.742420769404,885.627731442014,2021-05-15
"Yorkshire and Humber",19,14,75,900,0.157303370786517,141.573033707865,758.426966292135,0.0887543390914246,0.249822780009929,224.840502008936,79.8789051822821,2021-05-15
"North East",19,NA,12,221,0.2,44.2,176.8,0.0433120051058367,0.480891133806853,106.276940571315,9.5719531283899,2021-05-15
"London",19,101,99,582,0.505,293.91,288.09,0.433586654975012,0.576262949682923,335.385036715461,252.347433195457,2021-05-15
"West Midlands",19,68,152,291,0.309090909090909,89.9454545454545,201.054545454545,0.248702979449908,0.374709754310067,109.04053850423,72.3725670199233,2021-05-15
"South East",19,42,74,289,0.362068965517241,104.637931034483,184.362068965517,0.274886958770532,0.4564784178914,131.922262770614,79.4423310846837,2021-05-15
"East of England",19,122,123,322,0.497959183673469,160.342857142857,161.657142857143,0.433667388150949,0.562300945650581,181.060904499487,139.640898984606,2021-05-15
"East Midlands",19,104,246,429,0.297142857142857,127.474285714286,301.525714285714,0.24973206383883,0.348024753074977,149.302619069165,107.135055386858,2021-05-15
"South West",19,8,NA,132,0.8,105.6,26.4,0.443904537692359,0.974789273673167,128.672184124858,58.5953989753913,2021-05-15
"West Midlands",18,34,216,297,0.136,40.392,256.608,0.096056709006151,0.184829884883842,54.8944758105009,28.5288425748269,2021-05-08
"London",17,41,53,404,0.436170212765957,176.212765957447,227.787234042553,0.334097251047943,0.542376380690984,219.120057799158,134.975289423369,2021-05-01
"Yorkshire and Humber",18,14,183,921,0.0710659898477157,65.4517766497462,855.548223350254,0.0393947323104772,0.116362667233731,107.170016522266,36.2825484579495,2021-05-08
"North West",18,488,442,987,0.524731182795699,517.909677419355,469.090322580645,0.492062818059655,0.557242466994954,549.99831492402,485.666001424879,2021-05-08
"Yorkshire and Humber",7,138,5155,5740,0.0260721707916116,149.65426034385,5590.34573965615,0.0219477542844637,0.0307296844195633,176.388388568293,125.980109592822,2021-02-20
"South East",18,34,94,313,0.265625,83.140625,229.859375,0.191487430886944,0.35092799492979,109.840462413024,59.9355658676134,2021-05-08
"East Midlands",18,93,281,444,0.248663101604278,110.406417112299,333.593582887701,0.205660822299678,0.295694468032946,131.288343806628,91.3134051010568,2021-05-08
"East of England",18,93,133,292,0.411504424778761,120.159292035398,171.840707964602,0.346674943048603,0.478686962044575,139.776592917016,101.229083370192,2021-05-08
"London",18,76,83,493,0.477987421383648,235.647798742138,257.352201257862,0.39826256004085,0.558547990517284,275.364159325021,196.343442100139,2021-05-08
"South West",18,NA,NA,163,0.666666666666667,108.666666666667,54.3333333333333,0.222778095503512,0.956728131707258,155.946685468283,36.3128295670725,2021-05-08
"North East",18,NA,33,220,0.0571428571428571,12.5714285714286,207.428571428571,0.00699676362830948,0.191571406345239,42.1457093959526,1.53928799822808,2021-05-08
"Yorkshire and Humber",17,13,506,964,0.0250481695568401,24.1464354527938,939.853564547206,0.0134029903671928,0.0424522723844184,40.9239905785793,12.9204827139739,2021-05-01
"North West",14,16,903,1030,0.0174102285092492,17.9325353645267,1012.06746463547,0.00998336178001702,0.0281194860993026,28.9630706822817,10.2828626334175,2021-04-10
"North West",10,17,2833,3066,0.00596491228070175,18.2884210526316,3047.71157894737,0.00347850640058833,0.0095332775169501,29.229028866969,10.6651006242038,2021-03-13
"North West",17,178,505,724,0.260614934114202,188.685212298682,535.314787701318,0.228055761450151,0.295257644652197,213.76653472819,165.11237128991,2021-05-01
"North West",16,51,512,601,0.0905861456483126,54.4422735346359,546.557726465364,0.0681908584161448,0.117383867104561,70.5477041298411,40.982705908103,2021-04-24
"Yorkshire and Humber",14,6,1597,1754,0.00374298190892077,6.56519026824704,1747.43480973175,0.00137480909780807,0.00812896783812722,14.2582095880751,2.41141515755536,2021-04-10
"East of England",16,10,163,262,0.0578034682080925,15.1445086705202,246.85549132948,0.0280639022708256,0.103731775375166,27.1777251482936,7.3527423949563,2021-04-24
"North East",17,7,71,188,0.0897435897435897,16.8717948717949,171.128205128205,0.0368468962745884,0.176203472166873,33.1262527673721,6.92721649962261,2021-05-01
"East of England",5,60,2122,7026,0.0274977085242896,193.198900091659,6832.80109990834,0.0210477722038318,0.0352546746975279,247.699344424831,147.881647504122,2021-02-06
"West Midlands",17,28,223,293,0.111553784860558,32.6852589641434,260.314741035857,0.0754190880648751,0.157179052101213,46.0534622656555,22.0977928030084,2021-05-01
"South East",17,13,78,297,0.142857142857143,42.4285714285714,254.571428571429,0.0783161164230243,0.231894466604997,68.872656581684,23.2598865776382,2021-05-01
"East of England",17,23,133,268,0.147435897435897,39.5128205128205,228.487179487179,0.0958152636367291,0.212969174559488,57.0757387819429,25.6784906546434,2021-05-01
"East Midlands",17,24,196,331,0.109090909090909,36.1090909090909,294.890909090909,0.0711588731316938,0.157960741320578,52.2850053771113,23.5535870065906,2021-05-01
"West Midlands",16,23,317,385,0.0676470588235294,26.0441176470588,358.955882352941,0.0433624355352682,0.0997770111232146,38.4141492824376,16.6945376810783,2021-04-24
"South West",17,NA,13,134,0.235294117647059,31.5294117647059,102.470588235294,0.0681077404373567,0.49899327320458,66.8650986094137,9.12643721860579,2021-05-01
"South East",16,15,111,310,0.119047619047619,36.9047619047619,273.095238095238,0.068184548007507,0.188740495227505,58.5095535205264,21.1372098823272,2021-04-24
"East Midlands",16,41,300,407,0.120234604105572,48.9354838709677,358.064516129032,0.0876799302794526,0.159560506209354,64.9411260272069,35.6857316237372,2021-04-24
"London",16,29,99,458,0.2265625,103.765625,354.234375,0.157286735289495,0.308906547736874,141.479198863488,72.0373247625886,2021-04-24
"South West",16,NA,13,177,0.0714285714285714,12.6428571428571,164.357142857143,0.00180678065912543,0.338684489931821,59.9471547179324,0.319800176665201,2021-04-24
"Yorkshire and Humber",16,9,987,1059,0.00903614457831325,9.56927710843373,1049.43072289157,0.00413998794964465,0.0170838414185456,18.0917880622398,4.38424723867369,2021-04-24
"North East",15,NA,125,220,0,NA,220,0,0.0290798371364315,6.39756417001492,0,2021-04-17
