"epiweek","Region_name","frac","pos","neg","frac.e484k","date","lower_ci","upper_ci"
5,"South East",0.0409437890353921,59,1382,0.00624566273421235,2021-02-06,0.0313118035490265,0.0524991444768809
6,"South East",0.0206579954093343,27,1280,0.00229533282325937,2021-02-13,0.013656813188577,0.0299148082371797
16,"North East",0.0115384615384615,3,257,0.00384615384615385,2021-04-24,0.00238585846546535,0.0333480959518264
16,"Yorkshire and Humber",0.00908265213442327,10,1091,0.000908265213442325,2021-04-24,0.00436383174493249,0.0166397037931667
16,"South East",0.155797101449275,43,233,0.0615942028985507,2021-04-24,0.115103133757504,0.204064766175331
16,"East Midlands",0.0882882882882883,49,506,0.00720720720720721,2021-04-24,0.0660292126746068,0.115041972200709
14,"Yorkshire and Humber",0.00388457269700337,7,1795,0.00554938956714761,2021-04-10,0.00156318240455,0.00798722831108878
15,"Yorkshire and Humber",0.0076628352490421,12,1554,0.00383141762452107,2021-04-17,0.00396558466999808,0.0133471363878364
16,"East of England",0.117333333333333,44,331,0.0133333333333333,2021-04-24,0.0865620290252511,0.154300051336084
16,"London",0.275390625,141,371,0.068359375,2021-04-24,0.237112809822764,0.31628423350026
16,"North West",0.0674763832658569,50,691,0.0067476383265857,2021-04-24,0.0504935416596373,0.087994693940731
16,"West Midlands",0.0588235294117647,26,416,0.0271493212669683,2021-04-24,0.0387815962602371,0.0850048311670116
15,"West Midlands",0.0396039603960396,24,582,0.0115511551155116,2021-04-17,0.0255369629651592,0.0583565008392849
15,"North West",0.0439814814814815,38,826,0.0104166666666667,2021-04-17,0.0313088443843297,0.0598708556420888
14,"South East",0.0570071258907363,24,397,0.0190023752969121,2021-04-10,0.0368633316122466,0.0836372535784182
15,"East Midlands",0.0451436388508892,33,698,0.0136798905608755,2021-04-17,0.0312753678274725,0.062817021312142
15,"London",0.203174603174603,128,502,0.0682539682539682,2021-04-17,0.172413665387578,0.236746449240595
14,"East of England",0.0476190476190477,20,400,0.0166666666666667,2021-04-10,0.029326134463751,0.0725879078724778
15,"South East",0.108108108108108,48,396,0.0405405405405405,2021-04-17,0.0807929386180379,0.140772842259416
15,"East of England",0.0731132075471698,31,393,0.0141509433962264,2021-04-17,0.0502145887074024,0.102175231061516
14,"East Midlands",0.0138190954773869,11,785,0.00125628140703518,2021-04-10,0.00691808845190267,0.0245913926339282
14,"London",0.177142857142857,93,432,0.0838095238095238,2021-04-10,0.145426433487354,0.212544238952584
14,"West Midlands",0.0306946688206785,19,600,0.0177705977382876,2021-04-10,0.0185792799991782,0.0475197464171078
14,"North West",0.0285442435775451,30,1021,0.0104662226450999,2021-04-10,0.0193397640417691,0.0404993405066367
7,"South West",0.0305343511450382,28,889,0.0119956379498364,2021-02-20,0.0203837588255259,0.0438298055439286
16,"South West",0.0672268907563025,8,111,0,2021-04-24,0.0294685350264322,0.1281695496107
