"epiweek","Region_name","frac","pos","neg","frac.e484k","date","lower_ci","upper_ci"
6,"South West",0.0261506276150628,25,931,0.00418410041841004,2021-02-13,0.0169932040885502,0.0383626267881569
7,"West Midlands",0.0212765957446809,27,1242,0.000788022064617809,2021-02-20,0.0140671027818553,0.0308062304349057
5,"South West",0.0355239786856127,20,543,0.00532859680284192,2021-02-06,0.0218314616820311,0.0543323281669025
15,"South West",0.16,16,84,0.05,2021-04-17,0.0943102899739462,0.246787597410862
5,"London",0.027266530334015,80,2854,0.00408997955010225,2021-02-06,0.0216785230930383,0.0338218976980772
15,"North East",0.015015015015015,5,328,0.00600600600600601,2021-04-17,0.00489284046921123,0.0346903484067509
9,"London",0.0647840531561462,78,1126,0.037375415282392,2021-03-06,0.051542485273997,0.0801968726954664
8,"London",0.0572614107883818,69,1136,0.0307053941908714,2021-02-27,0.0448225161936212,0.0719120192999746
5,"North West",0.0674308833445718,100,1383,0.00337154416722859,2021-02-06,0.0551978772972019,0.081408889632015
6,"North West",0.0449189985272459,122,2594,0.00810014727540501,2021-02-13,0.0374396307109537,0.0533977399613172
12,"East Midlands",0.00382592061214726,8,2083,0.00478240076518412,2021-03-27,0.00165316378010705,0.00752459975155717
14,"South West",0.0444444444444444,6,129,0.0222222222222222,2021-04-10,0.0164825365151953,0.0942258783756563
7,"London",0.011326860841424,14,1222,0.00485436893203883,2021-02-20,0.00620595169745697,0.0189315864788643
9,"South East",0.0432276657060519,45,996,0.0220941402497598,2021-03-06,0.0317023780129847,0.0574169853814773
10,"South East",0.0471253534401508,50,1011,0.0207351555136664,2021-03-13,0.0351765142911837,0.0616598126370728
5,"West Midlands",0.0476190476190477,41,820,0.00232288037166086,2021-02-06,0.034385698383249,0.064048882335652
6,"West Midlands",0.0313390313390314,44,1360,0.00142450142450142,2021-02-13,0.0228614064647529,0.041844529492443
13,"West Midlands",0.0207351555136663,22,1039,0.0150801131008483,2021-04-03,0.0130391230426329,0.0312257517707734
10,"West Midlands",0.0220941402497599,23,1018,0.00864553314121038,2021-03-13,0.014056115186905,0.0329684782692061
11,"South East",0.0314842578710645,21,646,0.0164917541229385,2021-03-20,0.0195927466465946,0.0477257831620929
12,"South East",0.019471488178025,14,705,0.00695410292072323,2021-03-27,0.0106851221041443,0.0324542226749707
13,"South East",0.0375275938189845,17,436,0.0309050772626932,2021-04-03,0.0220104633037745,0.0594067164885954
13,"North West",0.0148441365660564,30,1991,0.00692726373082632,2021-04-03,0.0100370960198087,0.0211235854186062
13,"East Midlands",0.00584368151935721,8,1361,0.0014609203798393,2021-04-03,0.00252616227556968,0.0114817529379394
13,"South West",0.0404040404040404,8,190,0.0151515151515152,2021-04-03,0.0176024320984314,0.0780572031445786
8,"West Midlands",0.0233853006681515,21,877,0.00556792873051225,2021-02-27,0.0145327923067399,0.035525660209286
11,"West Midlands",0.0135478408128704,16,1165,0.00677392040643522,2021-03-20,0.00776305614636785,0.0219078252328833
7,"South East",0.0165945165945166,23,1363,0.00721500721500722,2021-02-20,0.0105478317100639,0.024796401073336
5,"East of England",0.0335329341317365,28,807,0,2021-02-06,0.0223957696174625,0.0481015053035169
14,"North East",0.00355871886120995,2,560,0,2021-04-10,0.000431268299121546,0.0127956993344084
7,"East of England",0.0234171725932351,27,1126,0.00173460537727667,2021-02-20,0.0154874563236084,0.0338889018707798
6,"East of England",0.025330396475771,23,885,0.00110132158590308,2021-02-13,0.0161235268486661,0.0377666768224894
8,"East of England",0.0217155266015201,20,901,0.00434310532030402,2021-02-27,0.0133136574311965,0.0333393867345789
9,"East of England",0.0253025302530253,23,886,0.0132013201320132,2021-03-06,0.0161057157273227,0.0377253950300463
13,"North East",0.00310237849017581,3,964,0.00206825232678387,2021-04-03,0.000640242553562653,0.00903946502533648
10,"East Midlands",0.0180430256766134,26,1415,0.00555170020818876,2021-03-13,0.0118193024314291,0.0263260888135236
10,"North East",0.0023515579071135,4,1697,0,2021-03-13,0.000641080481158629,0.00600988343410125
8,"Yorkshire and Humber",0.0161616161616162,40,2435,0.00363636363636364,2021-02-27,0.0115705457896218,0.0219430831691596
10,"Yorkshire and Humber",0.00645380434782605,19,2925,0.00237771739130435,2021-03-13,0.00388995192980368,0.0100601441657006
8,"East Midlands",0.0134020618556701,13,957,0.00206185567010309,2021-02-27,0.0071548110656634,0.0228088977539544
13,"Yorkshire and Humber",0.00804597701149423,21,2589,0.00306513409961686,2021-04-03,0.00498728624087486,0.0122729630306797
9,"South West",0.029082774049217,13,434,0.00894854586129754,2021-03-06,0.0155743277871624,0.0492189981022031
10,"South West",0.0194647201946472,8,403,0.0097323600973236,2021-03-13,0.00844002846736214,0.0379917021196464
11,"South West",0.0283911671924291,9,308,0.0157728706624606,2021-03-20,0.013062720705498,0.0532093418432862
8,"South West",0.0221402214022141,12,530,0.00553505535055351,2021-02-27,0.0114912744171757,0.0383548992848323
8,"North East",0.00855614973262031,16,1854,0.00053475935828877,2021-02-27,0.0048982597956404,0.0138575546262898
9,"East Midlands",0.0216271884654995,21,950,0.0082389289392379,2021-03-06,0.0134362236534488,0.0328702370024713
12,"Yorkshire and Humber",0.00592943966795134,20,3353,0.00296471983397569,2021-03-27,0.003625505869712,0.0091427532446765
11,"Yorkshire and Humber",0.00522433927473875,17,3237,0.00215119852489244,2021-03-20,0.00304622694757151,0.00835153702772662
9,"Yorkshire and Humber",0.0106382978723404,27,2511,0.00275807722616233,2021-03-06,0.00702208402255278,0.0154406746781917
13,"London",0.0795107033639144,52,602,0.0443425076452599,2021-04-03,0.0599500451200544,0.102962401734569
13,"East of England",0.0331491712707183,18,525,0.0202578268876611,2021-04-03,0.0197623116302503,0.0518852588030312
11,"London",0.11638418079096,103,782,0.0813559322033898,2021-03-20,0.0959962492426479,0.139364638231597
5,"North East",0.11070780399274,61,490,0.00544464609800363,2021-02-06,0.0857476540104307,0.139930424230548
11,"North East",0.00393700787401574,5,1265,0.00078740157480315,2021-03-20,0.00127953375220913,0.00916356325150636
7,"North East",0.025089605734767,35,1360,0,2021-02-20,0.0175366326611746,0.0347220509972196
11,"North West",0.00720396217919861,16,2205,0.00135074290859973,2021-03-20,0.00412312903245404,0.0116724864080087
12,"North East",0.000946073793755886,1,1056,0,2021-03-27,2.39522277900583e-05,0.00525980068440701
12,"London",0.0675675675675675,65,897,0.0446985446985447,2021-03-27,0.0525308177616624,0.0853131541900115
12,"East of England",0.0155189136760426,16,1015,0.00872938894277401,2021-03-27,0.00889573663518506,0.0250796818489326
10,"East of England",0.0315893385982231,32,981,0.0108588351431392,2021-03-13,0.0217053704351503,0.0443037974274206
12,"South West",0.0193370165745856,7,355,0.00828729281767956,2021-03-27,0.00780896621294991,0.0394341617566428
12,"North West",0.00827015851137147,24,2878,0.0062026188835286,2021-03-27,0.00530582708543959,0.0122804980493197
12,"West Midlands",0.0168621700879765,23,1341,0.00219941348973607,2021-03-27,0.0107184252765062,0.0251946443678084
10,"London",0.0716440422322775,95,1231,0.0346907993966818,2021-03-13,0.0583477559637346,0.0868744971395715
10,"North West",0.0167966406718656,28,1639,0.00779844031193761,2021-03-13,0.0111895185439262,0.0241849045353998
9,"North West",0.0265315967197298,55,2018,0.0110950313555234,2021-03-06,0.0200483559492974,0.0343958123839496
11,"East of England",0.0103567318757192,9,860,0.0046029919447641,2021-03-20,0.00474638681454542,0.0195689135019812
11,"East Midlands",0.00807381776239913,14,1720,0.00230680507497117,2021-03-20,0.00442085714582563,0.0135094244393364
7,"North West",0.0224586288416075,76,3308,0.00679669030732861,2021-02-20,0.017734668761541,0.0280306031956773
9,"North East",0.00927357032457499,12,1282,0.00154559505409583,2021-03-06,0.00480070809790489,0.0161429767333543
8,"North West",0.0161775771256584,43,2615,0.00601956358164033,2021-02-27,0.0117318903487561,0.0217298048491279
7,"East Midlands",0.029045643153527,28,936,0.004149377593361,2021-02-20,0.019385543269258,0.0417068645757329
8,"South East",0.0290196078431373,37,1238,0.0156862745098039,2021-02-27,0.0205130174863086,0.039779379198628
6,"London",0.0228091236494598,57,2442,0.00920368147258904,2021-02-13,0.0173200908458141,0.0294519090357204
7,"Yorkshire and Humber",0.0393401015228426,62,1514,0.00444162436548223,2021-02-20,0.0302923879239112,0.0501508857166907
6,"East Midlands",0.0452054794520548,33,697,0,2021-02-13,0.0313184904570162,0.062902270530114
6,"Yorkshire and Humber",0.0379436964504284,31,786,0.00122399020807834,2021-02-13,0.0259238504385255,0.0534278635225015
5,"East Midlands",0.0631808278867102,29,430,0.00217864923747277,2021-02-06,0.0427178548244636,0.0894803817344033
9,"West Midlands",0.0272727272727272,21,749,0.00649350649350649,2021-03-06,0.016959782497852,0.041388257831136
6,"North East",0.03486529318542,22,609,0.00158478605388273,2021-02-13,0.0219764132280604,0.0523123845824895
5,"Yorkshire and Humber",0.0931263858093127,42,409,0.00665188470066519,2021-02-06,0.067942637649584,0.123793574168946
