"Region_name","epiweek","frac","lower_ci","upper_ci","spos","spos_li","spos_ui","sneg","sneg_li","sneg_ui","pos","pos_li","pos_ui","neg","neg_li","neg_ui","date"
"North West",16,0.0909465185957765,0.0162387751752597,0.199125148910824,55.5883551260593,7.49535410232308,136.805828455382,548.789644873941,281.636669027899,882.529501106204,52.02,7,127.075,513.792,270.925,818.025,2021-04-24
"Yorkshire and Humber",12,0.00506536211141596,0.00309394787959743,0.00727410239103271,16.3090893344349,5.47659359925288,29.5804025167392,3180.46291066557,1463.41459849873,5113.45734167629,14.929,NA,27,2911.384,1336.625,4687.4,2021-03-27
"South East",14,0.0243019455656735,0.00688439434129089,0.0472727272727273,14.1177972400009,NA,27.4926027077498,574.944202759999,371.802466856061,810.123615874773,7.112,NA,13,291.365,182,423.1,2021-04-10
"South East",5,0.0372373588856206,0.0293401136315158,0.0459171775564433,331.640819750357,224.316176581636,451.862981404418,8583.33718024964,6240.75678039352,11095.9989082844,151.888,96.975,216,3922.218,2793.8,5198.575,2021-02-06
"North West",12,0.00813173237330435,0.0012470501601546,0.0212678389557482,18.2457298563922,NA,47.7494621511624,2261.47227014361,1360.41342489881,3266.4540491959,16.499,NA,43,2043.701,1233.8,2955,2021-03-27
"Yorkshire and Humber",18,0.0704318930200889,0.0248735660540274,0.117409627271025,66.9655573406628,13.3233408215661,132.359660532428,869.189442659337,384.031715425532,1388.92433436532,14.369,NA,29,185.988,82.975,304,2021-05-08
"South East",6,0.0236192509892868,0.01721258631218,0.0301656012991226,130.463227141344,83.7314476251346,182.105725571555,5406.19777285866,3955.59005714645,7061.87043568537,58.295,36,82,2416.38,1711.9,3182.225,2021-02-13
"Yorkshire and Humber",8,0.015052592564879,0.0120068095848974,0.0176493524383508,71.6767416525289,32.4027941835012,121.286493977267,4661.53625834747,2293.90524906046,7602.54585500306,65.632,29,111.05,4267.681,2095.35,6946.975,2021-02-27
"North East",6,0.0390792863555338,0.0264614071795011,0.0539529584725684,120.65016919969,45.8064371661443,214.585193678735,2971.16183080031,1345.18795525556,5012.1622484861,112.199,43,198.025,2765.292,1244.975,4707.725,2021-02-13
"Yorkshire and Humber",17,0.0254309188296568,0.00481803206466566,0.0497348196504502,23.897077757201,NA,50.5613041825095,932.953922242799,415.79587505006,1539.72212167505,12.901,NA,27.025,502.282,217.875,835.025,2021-05-01
