"date","area","neg_me","neg_li","neg_ui","pos_me","pos_li","pos_ui","unc_me","unc_li","unc_ui","population","release","samplesize","fraction","Region_name","fraction.lo","fraction.hi"
2021-03-28,"NORTH EAST",0.00334556741609358,0.00203544124445801,0.0050363243452273,2.57347512340164e-05,6.76806944958524e-07,0.000123728406272175,0.000807992427090997,0.000331313559516997,0.00156199224305806,2669941,"2021-05-14",3144,0.00763347512525587,"North East",0,0.0476190476190476
2021-03-28,"NORTH WEST",0.00314310213754066,0.00230953541640339,0.0040822882862927,7.62209508028181e-05,1.2618496636439e-05,0.000213758725619804,0.00127867908771385,0.000795824911439948,0.00189365089426457,7341196,"2021-05-14",9736,0.0236760799432647,"North West",0,0.0909090909090909
2021-03-28,"YORKSHIRE AND HUMBER",0.00394194032791062,0.0028585530439176,0.00530370291974141,9.0518244399395e-05,1.31491974677208e-05,0.000265448678646316,0.000505238448126324,0.000245656169469885,0.000869097070461396,5502967,"2021-05-14",6870,0.0224474083927268,"Yorkshire and Humber",0,0.0789473684210526
2021-03-28,"EAST MIDLANDS",0.00306353902235503,0.00203634765116599,0.00428989705010021,7.9712809883855e-05,8.06205698934913e-06,0.000269851123529844,0.000681354076197701,0.00029537143482498,0.0012538585492863,4835928,"2021-05-14",5204,0.0253599819989851,"East Midlands",0,0.0909090909090909
2021-03-28,"WEST MIDLANDS",0.00261508055638122,0.00171643324386345,0.00367383841681826,2.72777252825138e-05,4.54242351753526e-07,0.000122041528007517,0.000733366340308982,0.000360658935959375,0.00125466138174231,5934037,"2021-05-14",6218,0.0103232500572703,"West Midlands",0,0.0625
2021-03-28,"EAST OF ENGLAND",0.000883804153820921,0.000499832339801337,0.00140834082786573,2.37359223497792e-05,3.89911526794599e-07,9.84500684284082e-05,0.000599708403638035,0.000318856185524213,0.000980542490272635,6236072,"2021-05-14",8146,0.0261541313414293,"East of England",0,0.166666666666667
2021-03-28,"LONDON",0.00175512038226194,0.0013050183871868,0.00230885502359472,0.000155068348066264,5.94054809645326e-05,0.000305913027415956,0.000665139925513888,0.000414712268705646,0.000980435403699612,8961989,"2021-05-14",14643,0.0811795952956023,"London",0,0.230769230769231
2021-03-28,"SOUTH EAST",0.00110982295436668,0.000706332304733966,0.00164183836079184,1.92752020635272e-05,8.0468394920056e-07,7.67315108754358e-05,0.000873848865601243,0.000531403122961825,0.00131424233424252,9180135,"2021-05-14",10509,0.0170713254235294,"South East",0,0.125
2021-03-28,"SOUTH WEST",0.000352394147055251,0.000115934676103934,0.000726296671678052,2.61084421061617e-05,5.11453394394422e-07,0.000114009046294742,0.000546765785902208,0.000251157807440888,0.000970476268235196,5624696,"2021-05-14",6406,0.068978239129106,"South West",0,0.4
2021-03-29,"NORTH EAST",0.0031591423939463,0.00190125294588309,0.00479742760315693,2.43969492366885e-05,7.01194036159111e-07,0.000113549529814216,0.000756844129263762,0.000318286757816348,0.00145751332014482,2669941,"2021-05-14",3144,0.00766346716868144,"North East",0,0.0476190476190476
2021-03-29,"NORTH WEST",0.00316347885551274,0.00232931520656605,0.00411061956808837,7.29392259967563e-05,1.27095566988994e-05,0.000204452775678861,0.00133484228803496,0.00084074062379045,0.00197086916576135,7341196,"2021-05-14",9736,0.0225370221521988,"North West",0,0.0833333333333333
2021-03-29,"YORKSHIRE AND HUMBER",0.0038417890154044,0.00278960087587629,0.00519394832124939,8.69185859924867e-05,1.28002346037097e-05,0.000251621379706535,0.000486788409028106,0.000240388722708881,0.000832541719249992,5502967,"2021-05-14",6870,0.0221239641152174,"Yorkshire and Humber",0,0.0769230769230769
2021-03-29,"EAST MIDLANDS",0.00293735779963982,0.00193832973309651,0.00414390412177809,7.97214776231716e-05,8.6593367825119e-06,0.000261787515235017,0.00072081939982141,0.000324497153576944,0.00130229685772216,4835928,"2021-05-14",5204,0.0264233950443267,"East Midlands",0,0.0952380952380952
2021-03-29,"WEST MIDLANDS",0.00255904047545512,0.00168709113147714,0.00360244016105879,2.66701579423296e-05,4.85447740207886e-07,0.000116581317011531,0.000739063239538242,0.000370634775015706,0.00126460439633262,5934037,"2021-05-14",6218,0.0103144402926815,"West Midlands",0,0.0625
2021-03-29,"EAST OF ENGLAND",0.000845150703446147,0.000482739035751549,0.00133540117431729,2.32368841024227e-05,4.19129791791865e-07,9.23171787281485e-05,0.000566941781468624,0.00030423153575849,0.000927966909548186,6236072,"2021-05-14",8146,0.0267586552774432,"East of England",0,0.166666666666667
2021-03-29,"LONDON",0.00172238214780488,0.00127938388672051,0.00227490516524625,0.000142274099690574,5.35339149283921e-05,0.000284068931196131,0.000663634538729725,0.000414242149589774,0.000968241779959559,8961989,"2021-05-14",14643,0.0763004440532522,"London",0,0.214285714285714
2021-03-29,"SOUTH EAST",0.00111712222972432,0.00071178724282089,0.0016496639911381,1.9752812891048e-05,9.24318020020766e-07,7.56132984764751e-05,0.000854431736812296,0.000517518411030559,0.00128549263473017,9180135,"2021-05-14",10509,0.0173746560973024,"South East",0,0.125
2021-03-29,"SOUTH WEST",0.000357374405539077,0.00012360687873676,0.000722259439514941,2.54930313639999e-05,5.50292922334193e-07,0.000109568848910207,0.000514929585547223,0.000237494083734999,0.000919792805222479,5624696,"2021-05-14",6406,0.0665844856648216,"South West",0,0.333333333333333
2021-03-30,"NORTH EAST",0.00297054271948518,0.00176483196934041,0.00458096500663874,2.33163642769297e-05,7.21528555884419e-07,0.00010444743118772,0.000710341101450472,0.000302196295823468,0.00136781247333162,2669941,"2021-05-14",3144,0.00778806337392145,"North East",0,0.05
2021-03-30,"NORTH WEST",0.00316921459304301,0.00233986410473612,0.00413975965619448,6.99918769955196e-05,1.29601310147601e-05,0.000193954109704359,0.00137914863683486,0.000874604198805621,0.00203060780416958,7341196,"2021-05-14",9736,0.0216077232627555,"North West",0,0.0833333333333333
2021-03-30,"YORKSHIRE AND HUMBER",0.00370187431984039,0.00266971743174026,0.00502185078527282,8.3229143616072e-05,1.29938109480731e-05,0.000239267580115704,0.000469538089810379,0.000236193275160178,0.000800183397923135,5502967,"2021-05-14",6870,0.0219886046496782,"Yorkshire and Humber",0,0.0769230769230769
2021-03-30,"EAST MIDLANDS",0.00281360675211069,0.00185536052515511,0.00398373476844257,7.99004469828072e-05,9.6650554148161e-06,0.000259090403072986,0.000756316620356086,0.000347906043687853,0.00134662590501445,4835928,"2021-05-14",5204,0.027613702501877,"East Midlands",0,0.1
2021-03-30,"WEST MIDLANDS",0.00249420293893113,0.0016468471576935,0.00352703450748026,2.6123757143502e-05,5.0650289182062e-07,0.000112272264382589,0.000743905312356679,0.000376230488552434,0.00126938151021929,5934037,"2021-05-14",6218,0.0103652265336035,"West Midlands",0,0.0625
2021-03-30,"EAST OF ENGLAND",0.00080605212991061,0.000461372660988741,0.00127895074778117,2.27991306554099e-05,4.406351329436e-07,8.95908054774709e-05,0.000535753465732122,0.000290516959133483,0.000880541161448291,6236072,"2021-05-14",8146,0.0275069023118098,"East of England",0,0.166666666666667
2021-03-30,"LONDON",0.00168398740614739,0.00123686497925884,0.00223570274701703,0.000130215968459275,4.87763811288135e-05,0.000263835342124322,0.000661105300222975,0.00041709767871907,0.000963987166773683,8961989,"2021-05-14",14643,0.0717758385205887,"London",0,0.214285714285714
2021-03-30,"SOUTH EAST",0.00111918089960314,0.000714402209875534,0.00164179820550469,2.03217894826851e-05,1.06554735849567e-06,7.4617304575548e-05,0.000831592553507144,0.000505096861633571,0.00125357498989775,9180135,"2021-05-14",10509,0.0178339109484581,"South East",0,0.125
2021-03-30,"SOUTH WEST",0.00036339254213515,0.000131743846047166,0.000720521275150247,2.49477418934175e-05,5.81974392364436e-07,0.000105282522018746,0.000484650068084876,0.000226811472171848,0.000867188394749868,5624696,"2021-05-14",6406,0.0642419623187541,"South West",0,0.333333333333333
2021-03-31,"NORTH EAST",0.00277956514732311,0.00163106547428175,0.00431273720268622,2.24606320068882e-05,7.80172423802183e-07,9.74493897309452e-05,0.000667932204980397,0.000287492203774579,0.00129472969142959,2669941,"2021-05-14",3144,0.00801585487634551,"North East",0,0.0526315789473684
2021-03-31,"NORTH WEST",0.00315808970962281,0.00233450749636947,0.00415165761805791,6.73383457114726e-05,1.29634520575891e-05,0.000186082498275752,0.00140808634806904,0.00089224830736604,0.00206832298805787,7341196,"2021-05-14",9736,0.0208773361415106,"North West",0,0.0811936936936921
2021-03-31,"YORKSHIRE AND HUMBER",0.00352798080407787,0.00253135944744572,0.00478384351993339,7.94123333797658e-05,1.28477661996954e-05,0.000226459559008655,0.000453232091942837,0.000229067068885588,0.000776654453140288,5502967,"2021-05-14",6870,0.022013772925158,"Yorkshire and Humber",0,0.08
2021-03-31,"EAST MIDLANDS",0.00269156445737255,0.00176417281741909,0.00383241787730162,8.02168797317924e-05,1.04792817218305e-05,0.000252170995256616,0.000786118357212519,0.000371738132413536,0.00138101502914335,4835928,"2021-05-14",5204,0.0289405512108666,"East Midlands",0,0.105263157894737
2021-03-31,"WEST MIDLANDS",0.00242051088288127,0.00159120989613513,0.00343897371692745,2.56241868526141e-05,5.24621894900931e-07,0.00010847771317127,0.000747400857502554,0.000380817827263055,0.00126255109145488,5934037,"2021-05-14",6218,0.0104753769199678,"West Midlands",0,0.0625
2021-03-31,"EAST OF ENGLAND",0.000766675473474312,0.000433941073170503,0.00121782956801738,2.2410295159858e-05,4.57154254771815e-07,8.6857818536941e-05,0.000506097062108206,0.000272575885025624,0.000831273167395391,6236072,"2021-05-14",8146,0.0284003286469708,"East of England",0,0.2
2021-03-31,"LONDON",0.00163983650660167,0.00119109598620821,0.00219508786317585,0.000118862342553618,4.40886881089191e-05,0.000243365744405045,0.000657232973648508,0.00041760003824606,0.000965571811278765,8961989,"2021-05-14",14643,0.0675853871233885,"London",0,0.2
2021-03-31,"SOUTH EAST",0.00111549320762809,0.000710184853806249,0.00164033418060269,2.09818948617616e-05,1.22626853838981e-06,7.45521275943908e-05,0.000805521626876584,0.000487259434091672,0.00122412256229063,9180135,"2021-05-14",10509,0.0184622565120814,"South East",0,0.125
2021-03-31,"SOUTH WEST",0.000370236607409053,0.000138989766327082,0.000725243663468149,2.4458701736938e-05,6.12149899365874e-07,9.9024417591437e-05,0.000455772535371881,0.000211635932836122,0.000821659295422705,5624696,"2021-05-14",6406,0.0619685645361728,"South West",0,0.333333333333333
2021-04-01,"NORTH EAST",0.00258708379528478,0.00148912412911065,0.00406232846212227,2.18066581106972e-05,8.12548439429131e-07,9.40832406837194e-05,0.000629226782562472,0.000270632575785877,0.00122004372333625,2669941,"2021-05-14",3144,0.00835859477438609,"North East",0,0.0555555555555556
2021-04-01,"NORTH WEST",0.00312878304406028,0.00231627955021056,0.00409480850742621,6.49539163151343e-05,1.30763686247751e-05,0.000178688235424225,0.00141896361052531,0.000908521899588993,0.00208033315968918,7341196,"2021-05-14",9736,0.0203379041921784,"North West",0,0.08
